email,lastName,firstName,dob,gender,role,faculty
user31@example.com,Nguyễn Thị,Loan,2002-07-10,Nữ,ROLE_STUDENT,1
user32@example.com,Trần Văn,Long,2003-10-15,Nam,ROLE_STUDENT,1
user33@example.com,Phạm Thị,Ánh,2002-01-20,Nữ,ROLE_STUDENT,1
user34@example.com,Lê Thị,Ngọc,2003-04-25,Nữ,ROLE_STUDENT,1
user35@example.com,Hoàng Văn,Dương,2004-07-30,Nam,ROLE_STUDENT,1
user36@example.com,Nguyễn Văn,Anh,2002-08-05,Nam,ROLE_STUDENT,1
user37@example.com,Trần Thị,Diệu,2003-11-10,Nữ,ROLE_STUDENT,1
user38@example.com,Phạm Đình,Quân,2002-02-15,Nam,ROLE_STUDENT,1
user39@example.com,Lê Thị,Thu,2003-05-20,Nữ,ROLE_STUDENT,1
user40@example.com,Hoàng Văn,Tài,2004-08-25,Nam,ROLE_STUDENT,1
user41@example.com,Nguyễn Thị,Bích,2002-09-15,Nữ,ROLE_STUDENT,2
user42@example.com,Trần Văn,Hiếu,2003-12-20,Nam,ROLE_STUDENT,2
user43@example.com,Phạm Thị,Thảo,2002-01-25,Nữ,ROLE_STUDENT,2
user44@example.com,Lê Văn,Đạt,2003-04-30,Nam,ROLE_STUDENT,2
user45@example.com,Hoàng Thị,Ly,2004-07-05,Nữ,ROLE_STUDENT,2
user46@example.com,Nguyễn Văn,Hoan,2002-08-10,Nam,ROLE_STUDENT,2
user47@example.com,Trần Thị,Như,2003-11-15,Nữ,ROLE_STUDENT,2
user48@example.com,Phạm Văn,Tín,2002-02-20,Nam,ROLE_STUDENT,2
user49@example.com,Lê Thị,Duyên,2003-05-25,Nữ,ROLE_STUDENT,2
user50@example.com,Hoàng Văn,Hoàng,2004-08-30,Nam,ROLE_STUDENT,2
user51@example.com,Nguyễn Thị,Bình,2002-09-15,Nữ,ROLE_STUDENT,2
user52@example.com,Trần Văn,Hiền,2003-12-20,Nam,ROLE_STUDENT,2
user53@example.com,Phạm Văn,Trọng,2002-01-25,Nam,ROLE_STUDENT,2
user54@example.com,Lê Thị,Ngọc,2003-04-30,Nữ,ROLE_STUDENT,2
user55@example.com,Hoàng Văn,Hào,2004-07-05,Nam,ROLE_STUDENT,2
user56@example.com,Nguyễn Thị,Hương,2002-08-10,Nữ,ROLE_STUDENT,2
user57@example.com,Trần Văn,Điền,2003-11-15,Nam,ROLE_STUDENT,2
user58@example.com,Phạm Thị,Quỳnh,2002-02-20,Nữ,ROLE_STUDENT,2
user59@example.com,Lê Văn,Bình,2003-05-25,Nam,ROLE_STUDENT,2
user60@example.com,Hoàng Thị,Trâm,2004-08-30,Nữ,ROLE_STUDENT,2
user61@example.com,Nguyễn Văn,Bửu,2002-09-15,Nam,ROLE_STUDENT,2
user62@example.com,Trần Thị,Phương,2003-12-20,Nữ,ROLE_STUDENT,2
user63@example.com,Phạm Văn,Chí,2002-01-25,Nam,ROLE_STUDENT,2
user64@example.com,Lê Thị,Tuyết,2003-04-30,Nữ,ROLE_STUDENT,2
user65@example.com,Hoàng Văn,Phúc,2004-07-05,Nam,ROLE_STUDENT,2
user66@example.com,Nguyễn Thị,Sương,2002-08-10,Nữ,ROLE_STUDENT,2
user67@example.com,Trần Văn,Sáng,2003-11-15,Nam,ROLE_STUDENT,2
user68@example.com,Phạm Văn,Bình,2002-02-20,Nam,ROLE_STUDENT,2
user69@example.com,Lê Thị,Anh,2003-05-25,Nữ,ROLE_STUDENT,2
user70@example.com,Hoàng Văn,Khánh,2004-08-30,Nam,ROLE_STUDENT,2
user71@example.com,Nguyễn Thị,Hoa,2002-09-15,Nữ,ROLE_STUDENT,2
user72@example.com,Trần Văn,Hoàng,2003-12-20,Nam,ROLE_STUDENT,2
user73@example.com,Phạm Thị,Diệp,2002-01-25,Nữ,ROLE_STUDENT,2
user74@example.com,Lê Văn,Sơn,2003-04-30,Nam,ROLE_STUDENT,2
user75@example.com,Hoàng Thị,Dung,2004-07-05,Nữ,ROLE_STUDENT,2
user76@example.com,Nguyễn Văn,Lâm,2002-08-10,Nam,ROLE_STUDENT,2
user77@example.com,Trần Thị,Thiên,2003-11-15,Nữ,ROLE_STUDENT,2
user78@example.com,Phạm Văn,Hoàng,2002-02-20,Nam,ROLE_STUDENT,2
user79@example.com,Lê Thị,Điệp,2003-05-25,Nữ,ROLE_STUDENT,2
user80@example.com,Hoàng Văn,Đông,2004-08-30,Nam,ROLE_STUDENT,2
user81@example.com,Nguyễn Văn,Khiêm,2002-09-15,Nam,ROLE_STUDENT,3
user82@example.com,Trần Thị,Ngọc,2003-12-20,Nữ,ROLE_STUDENT,3
user83@example.com,Phạm Văn,Chung,2002-01-25,Nam,ROLE_STUDENT,3
user84@example.com,Lê Thị,Hương,2003-04-30,Nữ,ROLE_STUDENT,3
user85@example.com,Hoàng Văn,Dương,2004-07-05,Nam,ROLE_STUDENT,3
user86@example.com,Nguyễn Thị,Hà,2002-08-10,Nữ,ROLE_STUDENT,3
user87@example.com,Trần Văn,Thành,2003-11-15,Nam,ROLE_STUDENT,3
user88@example.com,Phạm Văn,Huy,2002-02-20,Nam,ROLE_STUDENT,3
user89@example.com,Lê Thị,Hoài,2003-05-25,Nữ,ROLE_STUDENT,3
user90@example.com,Hoàng Văn,Tú,2004-08-30,Nam,ROLE_STUDENT,3
user91@example.com,Nguyễn Thị,Phương,2002-09-15,Nữ,ROLE_STUDENT,3
user92@example.com,Trần Văn,Tiến,2003-12-20,Nam,ROLE_STUDENT,3
user93@example.com,Phạm Văn,Đức,2002-01-25,Nam,ROLE_STUDENT,3
user94@example.com,Lê Thị,Hoàng,2003-04-30,Nữ,ROLE_STUDENT,3
user95@example.com,Hoàng Văn,Sơn,2004-07-05,Nam,ROLE_STUDENT,3
user96@example.com,Nguyễn Thị,Thu,2002-08-10,Nữ,ROLE_STUDENT,3
user97@example.com,Trần Văn,Khoa,2003-11-15,Nam,ROLE_STUDENT,3
user98@example.com,Phạm Văn,Phúc,2002-02-20,Nam,ROLE_STUDENT,3
user99@example.com,Lê Thị,Hoa,2003-05-25,Nữ,ROLE_STUDENT,3
user100@example.com,Hoàng Văn,Việt,2004-08-30,Nam,ROLE_STUDENT,3
user101@example.com,Nguyễn Văn,Đức,2002-09-15,Nam,ROLE_STUDENT,4
user102@example.com,Trần Thị,Phượng,2003-12-20,Nữ,ROLE_STUDENT,4
user103@example.com,Phạm Văn,Đoàn,2002-01-25,Nam,ROLE_STUDENT,4
user104@example.com,Lê Thị,Thuỳ,2003-04-30,Nữ,ROLE_STUDENT,4
user105@example.com,Hoàng Văn,Sáng,2004-07-05,Nam,ROLE_STUDENT,4
user106@example.com,Nguyễn Thị,Hoàn,2002-08-10,Nữ,ROLE_STUDENT,4
user107@example.com,Trần Văn,Thắng,2003-11-15,Nam,ROLE_STUDENT,4
user108@example.com,Phạm Văn,Sơn,2002-02-20,Nam,ROLE_STUDENT,4
user109@example.com,Lê Thị,Thu,2003-05-25,Nữ,ROLE_STUDENT,4
user110@example.com,Hoàng Văn,Quyền,2004-08-30,Nam,ROLE_STUDENT,4
user111@example.com,Nguyễn Thị,Bảo,2002-09-15,Nữ,ROLE_STUDENT,4
user112@example.com,Trần Văn,Sơn,2003-12-20,Nam,ROLE_STUDENT,4
user113@example.com,Phạm Văn,Bình,2002-01-25,Nam,ROLE_STUDENT,4
user114@example.com,Lê Thị,Thùy,2003-04-30,Nữ,ROLE_STUDENT,4
user115@example.com,Hoàng Văn,Chí,2004-07-05,Nam,ROLE_STUDENT,4
user116@example.com,Nguyễn Thị,Mai,2002-08-10,Nữ,ROLE_STUDENT,4
user117@example.com,Trần Văn,Phát,2003-11-15,Nam,ROLE_STUDENT,4
user118@example.com,Phạm Văn,Trung,2002-02-20,Nam,ROLE_STUDENT,4
user119@example.com,Lê Thị,Nga,2003-05-25,Nữ,ROLE_STUDENT,4
user120@example.com,Hoàng Văn,Quang,2004-08-30,Nam,ROLE_STUDENT,4
user121@example.com,Nguyễn Thị,Bình,2002-09-15,Nữ,ROLE_STUDENT,4
user122@example.com,Trần Văn,Minh,2003-12-20,Nam,ROLE_STUDENT,4
user123@example.com,Phạm Văn,Nghĩa,2002-01-25,Nam,ROLE_STUDENT,4
user124@example.com,Lê Thị,Diệu,2003-04-30,Nữ,ROLE_STUDENT,4
user125@example.com,Hoàng Văn,Huy,2004-07-05,Nam,ROLE_STUDENT,4
user126@example.com,Nguyễn Thị,Ngọc,2002-08-10,Nữ,ROLE_STUDENT,4
user127@example.com,Trần Văn,Điệp,2003-11-15,Nam,ROLE_STUDENT,4
user128@example.com,Phạm Văn,Tâm,2002-02-20,Nam,ROLE_STUDENT,4
user129@example.com,Lê Thị,Thuận,2003-05-25,Nữ,ROLE_STUDENT,4
user130@example.com,Hoàng Văn,Anh,2004-08-30,Nam,ROLE_STUDENT,4
user161@example.com,Nguyễn Thị,Hồng,2002-09-15,Nữ,ROLE_STUDENT,5
user162@example.com,Trần Văn,Lợi,2003-12-20,Nam,ROLE_STUDENT,5
user163@example.com,Phạm Thị,Quỳnh,2002-01-25,Nữ,ROLE_STUDENT,5
user164@example.com,Lê Văn,Điệp,2003-04-30,Nam,ROLE_STUDENT,5
user165@example.com,Hoàng Văn,Việt,2004-07-05,Nam,ROLE_STUDENT,5
user166@example.com,Nguyễn Thị,Trang,2002-08-10,Nữ,ROLE_STUDENT,5
user167@example.com,Trần Văn,Phúc,2003-11-15,Nam,ROLE_STUDENT,5
user168@example.com,Phạm Thị,Nhung,2002-02-20,Nữ,ROLE_STUDENT,5
user169@example.com,Lê Văn,Duy,2003-05-25,Nam,ROLE_STUDENT,5
user170@example.com,Hoàng Thị,Hòa,2004-08-30,Nữ,ROLE_STUDENT,5
user171@example.com,Nguyễn Văn,Tâm,2002-09-15,Nam,ROLE_STUDENT,5
user172@example.com,Trần Thị,Bình,2003-12-20,Nữ,ROLE_STUDENT,5
user173@example.com,Phạm Văn,Anh,2002-01-25,Nam,ROLE_STUDENT,5
user174@example.com,Lê Thị,Diệu,2003-04-30,Nữ,ROLE_STUDENT,5
user175@example.com,Hoàng Văn,Quang,2004-07-05,Nam,ROLE_STUDENT,5
user176@example.com,Nguyễn Văn,Danh,2002-08-10,Nam,ROLE_STUDENT,5
user177@example.com,Trần Thị,Hương,2003-11-15,Nữ,ROLE_STUDENT,5
user178@example.com,Phạm Văn,Cường,2002-02-20,Nam,ROLE_STUDENT,5
user179@example.com,Lê Thị,Hoài,2003-05-25,Nữ,ROLE_STUDENT,5
user180@example.com,Hoàng Văn,Minh,2004-08-30,Nam,ROLE_STUDENT,5
user181@example.com,Nguyễn Thị,Diệp,2002-09-15,Nữ,ROLE_STUDENT,5
user182@example.com,Trần Văn,Linh,2003-12-20,Nam,ROLE_STUDENT,5
user183@example.com,Phạm Thị,Mai,2002-01-25,Nữ,ROLE_STUDENT,5
user184@example.com,Lê Văn,Hoàng,2003-04-30,Nam,ROLE_STUDENT,5
user185@example.com,Hoàng Thị,Phượng,2004-07-05,Nữ,ROLE_STUDENT,5
user186@example.com,Nguyễn Văn,Bảo,2002-08-10,Nam,ROLE_STUDENT,5
user187@example.com,Trần Thị,Mỹ,2003-11-15,Nữ,ROLE_STUDENT,5
user188@example.com,Phạm Văn,Sơn,2002-02-20,Nam,ROLE_STUDENT,5
user189@example.com,Lê Thị,Thảo,2003-05-25,Nữ,ROLE_STUDENT,5
user190@example.com,Hoàng Văn,Tuấn,2004-08-30,Nam,ROLE_STUDENT,5
